义演	0.05	0.9	0.05
佳酿	0.05	0.9	0.05
郑重	0.05	0.9	0.05
酷虐	0.05	0.05	0.9
崎嵚历落	0.05	0.9	0.05
怎么混	0.05	0.05	0.9
盘弄	0.05	0.05	0.9
正式放弃	0.05	0.05	0.9
翩跹	0.05	0.9	0.05
旁敲侧击	0.05	0.05	0.9
使讨厌	0.05	0.05	0.9
蓓蕾	0.05	0.9	0.05
神圣	0.05	0.9	0.05
暴内陵外	0.05	0.05	0.9
辞职信	0.05	0.9	0.05
不偏不倚地	0.05	0.9	0.05
解法	0.05	0.9	0.05
令人恼火	0.05	0.05	0.9
文场	0.05	0.9	0.05
使烦乱	0.05	0.05	0.9
浇漓	0.05	0.05	0.9
睡不着	0.05	0.05	0.9
戚戚然	0.05	0.05	0.9
文圣	0.05	0.9	0.05
补给线	0.05	0.05	0.9
行房	0.05	0.9	0.05
大士	0.05	0.9	0.05
欺世盗名	0.05	0.05	0.9
当红	0.05	0.9	0.05
遇水架桥	0.05	0.9	0.05
褪色	0.05	0.05	0.9
同位素	0.05	0.05	0.9
粗野的	0.05	0.05	0.9
革新变旧	0.05	0.9	0.05
授奖	0.05	0.9	0.05
传染性的	0.05	0.05	0.9
莽汉	0.05	0.05	0.9
幼功	0.05	0.9	0.05
口耳相承	0.05	0.05	0.9
接援	0.05	0.9	0.05
生色	0.05	0.9	0.05
干他	0.05	0.05	0.9
披毛索厣	0.05	0.05	0.9
遇救	0.05	0.9	0.05
追根求源	0.05	0.05	0.9
沙文主义	0.05	0.05	0.9
裘弊金尽	0.05	0.05	0.9
投刃皆虚	0.05	0.9	0.05
杀气腾腾	0.05	0.05	0.9
急巴巴	0.05	0.05	0.9
地主之谊	0.05	0.9	0.05
禀呈	0.05	0.9	0.05
吹箫乞食	0.05	0.05	0.9
马前泼水	0.05	0.05	0.9
最轻量级	0.05	0.9	0.05
影只形孤	0.05	0.05	0.9
荒凉	0.05	0.05	0.9
没查没利	0.05	0.05	0.9
抗击	0.05	0.9	0.05
联欢	0.05	0.9	0.05
深根宁极	0.05	0.9	0.05
外人	0.05	0.05	0.9
急杵捣心	0.05	0.05	0.9
羞怯的	0.05	0.9	0.05
倔头强脑	0.05	0.05	0.9
不得已	0.05	0.05	0.9
恕宥	0.05	0.05	0.9
上水	0.05	0.9	0.05
如风过耳	0.05	0.05	0.9
深醒	0.05	0.9	0.05
容姿	0.05	0.9	0.05
黑斑	0.05	0.05	0.9
怀药	0.05	0.05	0.9
写照	0.05	0.05	0.9
首席	0.05	0.9	0.05
打群架	0.05	0.05	0.9
星夜	0.05	0.9	0.05
顽疾	0.05	0.05	0.9
自得其乐	0.05	0.9	0.05
马趴	0.05	0.05	0.9
陈腐	0.05	0.05	0.9
欧鹭忘机	0.05	0.9	0.05
阳春	0.05	0.9	0.05
累世通好	0.05	0.9	0.05
天崩地坼	0.05	0.05	0.9
心眼儿窄	0.05	0.05	0.9
退学	0.05	0.05	0.9
薪尽火传	0.05	0.9	0.05
怒目切齿	0.05	0.05	0.9
大声	0.05	0.05	0.9
迟滞	0.05	0.05	0.9
概况	0.05	0.05	0.9
作浪兴风	0.05	0.05	0.9
被驱逐	0.05	0.05	0.9
金兰契友	0.05	0.9	0.05
流芳百世	0.05	0.9	0.05
蕴藏量	0.05	0.9	0.05
青史	0.05	0.9	0.05
败家精	0.05	0.05	0.9
三伏天	0.05	0.9	0.05
暗昧	0.05	0.05	0.9
三灾八难	0.05	0.05	0.9
摊书傲百城	0.05	0.9	0.05
降心顺俗	0.05	0.05	0.9
乐于	0.05	0.9	0.05
大捷	0.05	0.9	0.05
乐事	0.05	0.9	0.05
受穷	0.05	0.05	0.9
流落天涯	0.05	0.05	0.9
有血有肉	0.05	0.9	0.05
复合材料	0.05	0.9	0.05
补偏救弊	0.05	0.9	0.05
艺德	0.05	0.9	0.05
劣中之劣	0.05	0.05	0.9
情缘	0.05	0.9	0.05
方巾气	0.05	0.05	0.9
恐怖病	0.05	0.05	0.9
筹组	0.05	0.9	0.05
害人虫	0.05	0.05	0.9
死仗	0.05	0.05	0.9
朱唇粉面	0.05	0.9	0.05
费时	0.05	0.05	0.9
宠辱	0.05	0.05	0.9
攻疾防患	0.05	0.9	0.05
千条万端	0.05	0.9	0.05
秉公无私	0.05	0.9	0.05
叫苦不迭	0.05	0.05	0.9
贵不期骄	0.05	0.05	0.9
烂污	0.05	0.05	0.9
录取	0.05	0.9	0.05
饥寒交至	0.05	0.05	0.9
退意	0.05	0.05	0.9
险症	0.05	0.05	0.9
诡密	0.05	0.05	0.9
无可比拟	0.05	0.9	0.05
巧语花言	0.05	0.05	0.9
相配	0.05	0.9	0.05
鸟骇鼠窜	0.05	0.05	0.9
擦黑儿	0.05	0.05	0.9
诡密的	0.05	0.05	0.9
俱乐部队	0.05	0.9	0.05
混吃混喝	0.05	0.05	0.9
敬而远之	0.05	0.05	0.9
围桌	0.05	0.9	0.05
盛典	0.05	0.9	0.05
畏葸	0.05	0.05	0.9
清洁的	0.05	0.9	0.05
斐然	0.05	0.9	0.05
校时钟	0.05	0.05	0.9
做鬼做神	0.05	0.05	0.9
郢人运斧	0.05	0.9	0.05
春水	0.05	0.9	0.05
讯息	0.05	0.9	0.05
轻诺寡信	0.05	0.05	0.9
东家效颦	0.05	0.05	0.9
鞭子	0.05	0.05	0.9
亳不	0.05	0.05	0.9
鸿函钜椟	0.05	0.9	0.05
铢两悉称	0.05	0.9	0.05
怒火中烧	0.05	0.05	0.9
难控制的	0.05	0.05	0.9
报喜	0.05	0.9	0.05
窟穴	0.05	0.05	0.9
学究气	0.05	0.05	0.9
背公向私	0.05	0.05	0.9
非常大方	0.05	0.9	0.05
猥陋	0.05	0.05	0.9
东冲西决	0.05	0.05	0.9
附影附声	0.05	0.05	0.9
牲畜	0.05	0.05	0.9
抗病	0.05	0.9	0.05
不见天日	0.05	0.05	0.9
玉食锦衣	0.05	0.05	0.9
前程光明	0.05	0.9	0.05
颓放	0.05	0.05	0.9
无巧不成话	0.05	0.9	0.05
明丽	0.05	0.9	0.05
火烧火燎	0.05	0.05	0.9
惊吓	0.05	0.05	0.9
富有魅力的	0.05	0.9	0.05
塞到	0.05	0.05	0.9
荣幸	0.05	0.9	0.05
持正不阿	0.05	0.9	0.05
风铃	0.05	0.9	0.05
成家立业	0.05	0.9	0.05
嫌累	0.05	0.05	0.9
同生共死	0.05	0.9	0.05
所向克捷	0.05	0.9	0.05
薄田	0.05	0.05	0.9
趣味	0.05	0.9	0.05
发亮	0.05	0.9	0.05
主题歌	0.05	0.9	0.05
弓影浮杯	0.05	0.05	0.9
少年装	0.05	0.9	0.05
移花接木	0.05	0.05	0.9
晚娘	0.05	0.05	0.9
不合格的	0.05	0.05	0.9
炮舰外交	0.05	0.05	0.9
舍生忘死	0.05	0.9	0.05
粉身碎骨	0.05	0.05	0.9
豪言	0.05	0.9	0.05
依偎	0.05	0.9	0.05
疾病	0.05	0.05	0.9
甜品	0.05	0.9	0.05
胆识	0.05	0.9	0.05
从谏如流	0.05	0.9	0.05
龙阳泣鱼	0.05	0.05	0.9
千里驹	0.05	0.9	0.05
人面兽心	0.05	0.05	0.9
变化万千	0.05	0.05	0.9
破衣服	0.05	0.05	0.9
感动中	0.05	0.9	0.05
侮辱	0.05	0.05	0.9
激越	0.05	0.9	0.05
杭州	0.05	0.9	0.05
长途跋涉	0.05	0.05	0.9
弊多利少	0.05	0.05	0.9
豁嘴	0.05	0.05	0.9
悲悼	0.05	0.05	0.9
亲切友好	0.05	0.9	0.05
无知	0.05	0.05	0.9
儒雅	0.05	0.9	0.05
日产量	0.05	0.9	0.05
严刑	0.05	0.05	0.9
正规的	0.05	0.9	0.05
贩假	0.05	0.05	0.9
忿不顾身	0.05	0.9	0.05
姑娘家	0.05	0.9	0.05
饶爽	0.05	0.9	0.05
鼓吹	0.05	0.05	0.9
有感觉	0.05	0.9	0.05
房地产热	0.05	0.9	0.05
狮子大开口	0.05	0.05	0.9
英秀	0.05	0.9	0.05
未知量	0.05	0.9	0.05
惹祸	0.05	0.05	0.9
韵致	0.05	0.9	0.05
性急	0.05	0.05	0.9
外强中瘠	0.05	0.05	0.9
确立	0.05	0.9	0.05
予取予求	0.05	0.05	0.9
飞黄腾踏	0.05	0.9	0.05
刺针	0.05	0.05	0.9
阿权膴仕	0.05	0.05	0.9
启宠纳侮	0.05	0.05	0.9
残骸	0.05	0.05	0.9
寡言少语	0.05	0.05	0.9
楚楚	0.05	0.9	0.05
疾风暴雨	0.05	0.05	0.9
瞎吹	0.05	0.05	0.9
经书	0.05	0.9	0.05
发狂的	0.05	0.05	0.9
崖略	0.05	0.05	0.9
硫化氢	0.05	0.9	0.05
喜吟吟	0.05	0.9	0.05
知荣守辱	0.05	0.05	0.9
粗鲁无礼的	0.05	0.05	0.9
想见	0.05	0.9	0.05
沁人肺腑	0.05	0.9	0.05
以图	0.05	0.9	0.05
创造物	0.05	0.9	0.05
幸福里	0.05	0.9	0.05
